Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00686956735898282,0.890581330479236,0.000830131965890445,0,0,0,2.26415289785668,0.0565673675672396,-0.000382780288678294,2.41209579236837E-05,0.0173718580255862,4.80170083471487E-05,0.0547709060687053,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/base_link.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/base_link.STL,,下胸甲-1;KEFSB6-3060-1000.STEP-1;上胸甲-1;joint5转joint6连接件B-1;飞特舵机-2;joint6转joint7打印件-1;飞特舵机-1;joint2连接件A-1;KEFSB6-3060-300.STEP-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_arm_base_link,-1.63473946052629E-05,0.00300662464882835,0.0103241813473425,0,0,0,0.760760214227773,0.00140239578149964,1.37239403851161E-07,-1.42916142760694E-07,0.00146104425714734,-1.55314870823304E-05,0.00186458776403139,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_base_link.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_base_link.STL,,铝型材连接件.STEP-1;灵越2.1-1/灵越 joint1  底座上盖-1;灵越2.1-1/灵越 joint1底板与底座连接件-1;灵越2.1-1/灵越joint1底座-1,left_arm_base_link,left_arm_joint1,left_arm_base_joint,fixed,0,1.01500000066667,-0.1,3.14159265358979,0,0,base_link,0,0,0,,,,,,,,,,,,
left_arm_link1,-3.24276141824193E-05,3.91803068802886E-05,-0.0169208459339275,0,0,0,0.315733985052084,0.000355333103579861,8.96367160414748E-07,-1.12252279070921E-06,0.000358749782128435,-4.11549901875641E-07,0.000465495761293342,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link1.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link1.STL,,灵越2.1-1/灵越 joint2  底板-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-1/PRT0002-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-1/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/joint2飞特舵机连轴承件-1;灵越2.1-1/joint2飞特舵机连轴承件-2;灵越2.1-1/SCS215_ASM_71_ASM_ASM-2/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-2/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-2/PRT0002-1;肩甲初版-1;肩甲初版-4,left_arm_link1,left_arm_joint1,left_arm_joint1,revolute,0,0,0.1145,3.14159265358979,0,0,left_arm_base_link,0,0,1,5,12,-2.14,2.14,,,,,,,,
left_arm_link2,0.0294208671216199,0.000476964264630231,0.000518958900196765,0,0,0,0.0501482304791557,7.68324123453962E-06,5.7606063677509E-07,-1.43192461618645E-06,1.62270247131466E-05,-1.34505028400494E-08,1.55418254850872E-05,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link2.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link2.STL,,灵越2.1-1/灵越 joint2-joint3 连接短杆-2-1;灵越2.1-1/灵越 joint2-joint3 连接杆-1-1;灵越2.1-1/灵越joint2转joint3轴承件-1;灵越2.1-1/U型固定件-1,left_arm_link2,left_arm_joint2,left_arm_joint2,revolute,0,0,-0.0428699999999988,-1.5707963267949,0,-1.57079639523237,left_arm_link1,0,0,1,5,12,-2.14,2.14,,,,,,,,
left_arm_link3,-0.00598311053655232,-4.94634699967216E-05,-0.106126403545387,0,0,0,0.368447310994795,0.000671085691586073,-1.46838977037301E-08,3.24538604462503E-05,0.000603424141732237,-7.1360929371316E-08,0.000364264970290165,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link3.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link3.STL,,灵越2.1-1/灵越joint4-joint5连接杆-1;灵越2.1-1/灵越铝型材铝型材-1;灵越2.1-1/灵越joint4转接铝型材-2.STEP-1;灵越2.1-1/灵越飞特舵机连轴承件1-2;灵越2.1-1/灵越飞特舵机连轴承件1-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-5/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-5/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-5/PRT0002-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-7/PRT0002-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-7/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-7/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;大臂甲1.0-1,left_arm_link3,left_arm_joint3,left_arm_joint3,revolute,0.0657499999999946,-9.99999999982126E-05,0.000400000000008029,1.5707963267949,0,-1.5707963267949,left_arm_link2,0,0,-1,5,12,-2.14,2.14,,,,,,,,
left_arm_link4,-0.000541938878740711,0.028405806197065,0.00037034723538648,0,0,0,0.048007139115809,1.64141913891154E-05,-5.7845673769135E-07,9.62946752549805E-09,7.54093815008549E-06,-1.52193904000396E-06,1.55133391025037E-05,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link4.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link4.STL,,灵越2.1-1/灵越 joint5-joint6 连接杆-1-2;灵越2.1-1/灵越 joint5-joint6 连接短杆-2-2;灵越2.1-1/灵越joint2转joint3轴承件-2,left_arm_link4,left_arm_joint4,left_arm_joint4,revolute,0.0038400000000019,0,-0.200810000000001,-1.5707963267949,0,0,left_arm_link3,0,0,1,5,12,-2.14,2.14,,,,,,,,
left_arm_link5,-0.00628108906282926,0.000212853518319031,-0.0715506440119273,0,0,0,0.207077276965592,0.000306349644371532,-2.73142646222039E-08,3.50645300553179E-05,0.000340615575055482,-3.4069963126502E-07,0.00014289189587793,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link5.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link5.STL,,灵越2.1-1/灵越joint4-joint5连接杆-2;灵越2.1-1/SCS215_ASM_71_ASM_ASM-9/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-9/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-9/PRT0002-1;新小臂甲2.0A-2;灵越2.1-1/灵越铝型材铝型材-2-1;灵越2.1-1/灵越joint6转joint7_step-2;灵越2.1-1/SCS215_ASM_71_ASM_ASM-10/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-10/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-10/PRT0002-1,left_arm_link5,left_arm_joint5,left_arm_joint5,revolute,0,0.0657500000000004,-0.000199999999991113,1.5707963267949,0,0,left_arm_link4,0,0,-1,5,12,-2.14,2.14,,,,,,,,
left_arm_link6,-0.000759194613479397,0.0240065523153095,5.58164371227406E-05,0,0,0,0.032562257471606,1.56755999138173E-05,-1.61833904254136E-07,7.68617040822707E-09,1.27877692587564E-05,-2.84599247509887E-08,9.25035078924417E-06,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link6.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link6.STL,,灵越2.1-1/灵越joint7转joint8_step-2;灵越2.1-1/SCS215_ASM_71_ASM_ASM-13/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-13/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-13/PRT0002-1,left_arm_link6,left_arm_joint6,left_arm_joint6,revolute,0.00378999999999963,5.00000000001502E-05,-0.1788,-1.5707963267949,0,0,left_arm_link5,0,0,1,5,12,-2.14,2.14,,,,,,,,
left_arm_link7,0.04102718226053,0.000104797361225431,0.0275632955071747,0,0,0,0.130617660751133,9.37555144818837E-05,2.67295143379048E-08,3.95378371535058E-06,4.22371579950214E-05,-1.83444197754397E-08,8.40584344645817E-05,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link7.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_link7.STL,,灵越2.1-1/灵越末端夹爪连接件.stp-1;灵越2.1-1/连接件双轴竖直.stp-1;灵越2.1-1/D405相机_step.stp-1;灵越2.1-1/intel D405相机连接件.stp-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-14/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/BRH12滑轨（50mm夹爪）.stp-2,left_arm_link7,left_arm_joint7,left_arm_joint7,revolute,0.000100000000001432,0.0556,9.99999999912379E-05,-1.5707963267949,0,1.5707963267949,left_arm_link6,0,0,1,5,12,-2.14,2.14,,,,,,,,
left_arm_gripper_left_finger,-0.0434086639321444,-1.54744198843648E-08,-0.0106596340364525,0,0,0,0.0256462690106051,5.13427082501839E-06,2.44760154965618E-11,-1.26430153583773E-06,6.4682619660795E-06,-4.17571994431343E-13,8.03606713459135E-06,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_gripper_left_finger.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_gripper_left_finger.STL,,灵越2.1-1/左夹爪套.stp-1;灵越2.1-1/BRH12滑块.stp-3,left_arm_gripper_left_finger,left_arm_gripper_joint,left_arm_gripper_joint1,fixed,0.14128,0.0505,0.00015,1.5708,0,0,left_arm_link7,0,0,0,5,12,0,-0.05,,,,,,,,
left_arm_gripper_right_finger,-0.0434086638781261,-1.5480945553259E-08,-0.0106596340340038,0,0,0,0.025646269050792,5.1342708257315E-06,2.44818388663392E-11,-1.2643015375437E-06,6.4682620124843E-06,-4.1738122544891E-13,8.03606718172597E-06,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_gripper_right_finger.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/left_arm_gripper_right_finger.STL,,灵越2.1-1/左夹爪套.stp-2;灵越2.1-1/BRH12滑块.stp-2,left_arm_gripper_right_finger,left_arm_gripper_joint,left_arm_gripper_joint2,fixed,0.14128,-0.0505,0.00015,-1.5708,0,0,left_arm_link7,0,0,0,5,12,0.05,0,,,,,,,,
right_arm_base_link,1.6347367480093E-05,-0.0030066248113288,0.0103241813473416,0,0,0,0.760760214227773,0.00140239578149964,1.37239403851344E-07,1.42916142950245E-07,0.00146104425714734,1.55314878062967E-05,0.00186458776403139,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/right_arm_base_link.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/right_arm_base_link.STL,,铝型材连接件.STEP-2;灵越2.1-2/灵越joint1底座-1;灵越2.1-2/灵越 joint1底板与底座连接件-1;灵越2.1-2/灵越 joint1  底座上盖-1,right_arm_base_link,right_arm_joint1,right_arm_base_joint,fixed,0,1.01500000066667,0.1,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_arm_link1,3.24320720247566E-05,3.91834540558715E-05,0.0169208474669632,0,0,0,0.315733967014059,0.000355333070357469,-8.96325231892337E-07,-1.1225145454184E-06,0.00035874974677796,4.1155577214377E-07,0.000465495695973106,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/right_arm_link1.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/right_arm_link1.STL,,灵越2.1-2/灵越 joint2  底板-1;灵越2.1-2/joint2飞特舵机连轴承件-2;灵越2.1-2/joint2飞特舵机连轴承件-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-1/PRT0003-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-1/PRT0002-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-2/PRT0003-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-2/PRT0002-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-2/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;肩甲初版-3;肩甲初版-2,right_arm_link1,right_arm_joint1,right_arm_joint1,revolute,0,0,0.114499999999998,0,0,0,right_arm_base_link,0,0,-1,5,12,-2.14,2.14,,,,,,,,
right_arm_link2,0.0294208671216257,0.000476964264629065,0.000518958900196698,0,0,0,0.0501482304791557,7.68324123453963E-06,5.76060636775069E-07,-1.43192461618646E-06,1.62270247131466E-05,-1.3450502840051E-08,1.55418254850871E-05,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/right_arm_link2.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/right_arm_link2.STL,,灵越2.1-2/灵越 joint2-joint3 连接杆-1-1;灵越2.1-2/灵越 joint2-joint3 连接短杆-2-1;灵越2.1-2/U型固定件-1;灵越2.1-2/灵越joint2转joint3轴承件-1,right_arm_link2,right_arm_joint2,right_arm_joint2,revolute,0,0,0.04287,1.5707963267949,0,-1.5707963267949,right_arm_link1,0,0,-1,5,12,-2.14,2.14,,,,,,,,
right_arm_link3,-0.0060702147953125,-7.96524461245867E-05,0.105091706185267,0,0,0,0.373333384305912,0.000671566221860179,1.39421630177045E-08,-3.24356386154671E-05,0.000604631227941289,-7.14064799214061E-08,0.000365833327783667,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/right_arm_link3.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://lingyue_urdf 2.5.0/meshes/right_arm_link3.STL,,大臂甲1.0-2;灵越2.1-2/灵越joint4-joint5连接杆-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-4/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-4/PRT0003-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-4/PRT0002-1;灵越2.1-2/灵越铝型材铝型材-1;灵越2.1-2/灵越joint4转接铝型材-2.STEP-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-5/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-5/PRT0003-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-5/PRT0002-1;灵越2.1-2/灵越飞特舵机连轴承件1-1;灵越2.1-2/灵越飞特舵机连轴承件1-2;灵越2.1-2/SCS215_ASM_71_ASM_ASM-7/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-7/PRT0003-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-7/PRT0002-1,right_arm_link3,right_arm_joint3,right_arm_joint3,revolute,0.0657500000000003,-9.99999999993784E-05,0.000400000000008027,-1.57079632679489,0,-1.5707963267949,right_arm_link2,0,0,1,5,12,-2.14,2.14,,,,,,,,
